Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2017,Christmas Period,Easter Period,Age_Group,Day of week,Time of day,Case
20212133,Victoria,9,2021,Sunday,0:00,Single,,,,,Motorcycle rider,Male,38,Inner Regional Australia,Yarra Ranges (S),No,No,26_to_39,Weekend,Night,1
20214022,South Australia,9,2021,Saturday,23:00,Multiple,No,No,No,110,Pedestrian,Female,28,Major Cities of Australia,Playford (C),No,No,26_to_39,Weekend,Night,1
20212096,Victoria,9,2021,Saturday,23:00,Single,,,,,Passenger,Male,19,Inner Regional Australia,Western Australiangaratta (RC),No,No,17_to_25,Weekend,Night,1
20212145,Victoria,9,2021,Saturday,22:00,Single,,,,,Driver,Male,23,Outer Regional Australia,Western Australiangaratta (RC),No,No,17_to_25,Weekend,Night,1
20212075,Victoria,9,2021,Saturday,5:00,Single,,,,,Motorcycle rider,Male,46,Major Cities of Australia,Casey (C),No,No,40_to_64,Weekend,Night,1
20213034,Queensland,9,2021,Saturday,4:00,Multiple,No,No,No,100,Motorcycle rider,Male,19,Major Cities of Australia,Brisbane (C),No,No,17_to_25,Weekend,Night,1
20212015,Victoria,9,2021,Thursday,19:00,Multiple,,,,,Other/-9,Male,17,Major Cities of Australia,Wyndham (C),No,No,17_to_25,Weekday,Night,1
20213026,Queensland,9,2021,Wednesday,23:00,Multiple,No,No,No,,Passenger,Female,2,Major Cities of Australia,Ipswich (C),No,No,0_to_16,Weekday,Night,1
20213092,Queensland,9,2021,Saturday,2:00,Single,No,No,No,60,Driver,Male,47,Major Cities of Australia,Logan (C),No,No,40_to_64,Weekend,Night,1
20214053,South Australia,9,2021,Thursday,21:00,Single,No,No,No,80,Driver,Male,24,Inner Regional Australia,Adelaide Hills (DC),No,No,17_to_25,Weekday,Night,1
20213178,Queensland,9,2021,Sunday,21:00,Multiple,No,No,No,50,Motorcycle rider,Male,52,Major Cities of Australia,Gold Coast (C),No,No,40_to_64,Weekend,Night,1
20211068,New South Western Australiales,9,2021,Tuesday,21:00,Single,No,No,No,60,Driver,Female,32,Inner Regional Australia,Central Coast,No,No,26_to_39,Weekday,Night,1
20213026,Queensland,9,2021,Wednesday,23:00,Multiple,No,No,No,,Driver,Male,34,Major Cities of Australia,Ipswich (C),No,No,26_to_39,Weekday,Night,1
20211169,New South Western Australiales,9,2021,Saturday,8:00,Single,No,No,No,110,Motorcycle rider,Male,26,Inner Regional Australia,Tweed,No,No,26_to_39,Weekend,Day,1
20213169,Queensland,9,2021,Sunday,13:00,Single,No,No,No,100,Driver,Male,52,Outer Regional Australia,South Burnett (R),No,No,40_to_64,Weekend,Day,1
20211088,New South Western Australiales,9,2021,Saturday,8:00,Single,No,No,No,100,Passenger,Female,11,Outer Regional Australia,Carrathool,No,No,0_to_16,Weekend,Day,1
20211025,New South Western Australiales,9,2021,Sunday,10:00,Single,No,No,No,100,Driver,Male,46,Outer Regional Australia,Mid-Western Regional,No,No,40_to_64,Weekend,Day,1
20212060,Victoria,9,2021,Sunday,10:00,Single,,,,,Motorcycle rider,Male,49,Major Cities of Australia,Melton (C),No,No,40_to_64,Weekend,Day,1
20212135,Victoria,9,2021,Saturday,11:00,Single,,,,50,Motorcycle rider,Male,45,Major Cities of Australia,Casey (C),No,No,40_to_64,Weekend,Day,1
20212046,Victoria,9,2021,Sunday,14:00,Multiple,,,,60,Pedal cyclist,Male,52,Major Cities of Australia,Hobsons Bay (C),No,No,40_to_64,Weekend,Day,1
20211011,New South Western Australiales,9,2021,Saturday,6:00,Single,No,No,No,100,Driver,Male,19,Inner Regional Australia,Port Macquarie-Hastings,No,No,17_to_25,Weekend,Day,1
20212039,Victoria,9,2021,Saturday,9:00,Single,,,,,Driver,Male,20,Inner Regional Australia,Greater Bendigo (C),No,No,17_to_25,Weekend,Day,1
20211094,New South Western Australiales,9,2021,Saturday,14:00,Single,No,No,No,50,Motorcycle rider,Male,36,Major Cities of Australia,Port Stephens,No,No,26_to_39,Weekend,Day,1
